项目名称|项目等级|子项目/尺寸|项目编号|内容|项目发起人|项目负责人|立项日期|预计完成日期|状态|测试情况|技术目标达成|是否市场转化|未转换原因
飞利浦RO-PFAS项目|二级|星冰乐|25-207-1|NFS 58/53/5A认证|刘博|叶运婷|2025.1|2026年12月|53暂停/5A完成\n后置转5A+优矿配方|已完成测试|||
飞利浦RO-PFAS项目|二级|bravvos|25-207-2|NFS 58/53认证|刘博|叶运婷|2025.1|2026年12月|暂停，转其它款-未开展|未开展|||
飞利浦RO-PFAS项目|二级|U24-1400g|25-207-3|NFS 58/53/5A认证|刘博|叶运婷|2025.1|2026年12月|完成-后置转5A+优矿配方|已完成测试|||
飞利浦RO-PFAS项目|二级|spark-800g|25-207-4|NFS 58/53认证|刘博|叶运婷|2025.1|2026年12月|试产计划暂停\n后置滤芯加除铅聊，现进行中|进行中|||
飞利浦RO-PFAS项目|二级|Lotus Pro 600g|25-207-5|5A认证|刘博|叶运婷|2025.1|2026年12月|已完成测试，8.21出数据报告|已完成测试|||
韩国innofiltech项目|二级|L1|24-210-1|除VOC|刘博|陈秀丽|2024.12.20|2025年12月|1/18 第一次样品30只（VOC性能NG）\n4/29 第二次样品30只（压降太高）\n6/15 第三次送样40只（压降太高）\n9/2 第四次样品30只（压降太高）\n11/22 第五次样品100只|内部已完成测试|是|否|客户原因
韩国innofiltech项目|二级|L2|25-210-3|除VOC/福尔马肼/9种重金属|刘博|陈秀丽|2025.2|2025年12月|6/20第一次送样30只\n8/17 L2-NM送样15只\n9/11 第二次送样30只\n1/15 第三次送样20只 客户反馈流速、VOC、除三个重金属不合格|测试中|||
韩国innofiltech项目|二级|L3|25-210-4|除VOC/福尔马肼/7种重金属|刘博|陈秀丽|2025.2|2025年12月|未开展|||
韩国innofiltech项目|二级|L4|25-210-5|除VOC/NSF42/53/401|刘博|陈秀丽|2025.2|2025年12月|2026/2/7 第一次送样 客户暂无反馈结果|进行中|||
韩国innofiltech项目|二级|W1|25-210-6|除VOC/5种重金属|刘博|陈秀丽|2025.4|2025年12月|6/20第一次送样：反馈VOC性能不合格|测试中|||
韩国innofiltech项目|二级|W2|25-210-7|除VOC/5种重金属/PFOA PFOS/日本17项标准|刘博|陈秀丽|2025.4|2025年12月|未开展|||
韩国innofiltech项目|二级|W3|25-210-8|日本标准17项/PFOA/PFOS寿命重金属去除5种|刘博|陈秀丽|2025.4|2025年12月|未开展|||
康立根抑菌项目|二级|/|25-214-1|大肠杆菌/过滤精度/余氯|孙淼淼|杨茂林|2025.5.22|2025年11月|6.10第一次送样，客户反馈有压降要求，需更改配方预计10/18重新送样|测试中|||
伊可普矿化长效释放|二级|40.5*16*285|25-215-1|钙、镁、PH、TDS、口感/浸泡|张莉|涂小娟|2025.10.17|2025年12月|已完成内部摸底测试，待客户反馈|测试中|||
氯胺炭棒|二级|63*40*242.5|26-201-1|去除氯胺|孙淼淼|秦文静|2026.6.2|2026年12月|||
沁园降本项目|三级|后置炭棒\n63*40*100|25-301-1|除VOC、除铅|孙淼淼|秦文静|2025.8.19|2025年9月|已送样，反馈结果不合格，进行中|已完成测试|||
沁园前置复合滤芯|三级|炭棒：45*16*216\n折叠棉：55*45*216|25-330-1|精度、VOC、TDS增加量、黑水、COD、浑浊度增加量、浊度去除率|孙淼淼|杨茂林|2025.7.26|2025年7月|8/7已寄样品16只，客户反馈COD测试不合格，不合格样品已寄回，内部测试，直接用A-55-01切换量产|已完成测试|已达成|是|
